"id","adcode","name","city_id:id","district_id:id"
"town_cn_110108_11","110108","羊坊店街道","city_cn_110100","district_cn_110108"
"town_cn_110108_12","110108","上庄镇","city_cn_110100","district_cn_110108"
"town_cn_110108_13","110108","苏家坨镇","city_cn_110100","district_cn_110108"
"town_cn_110108_14","110108","清河街道","city_cn_110100","district_cn_110108"
"town_cn_110108_15","110108","甘家口街道","city_cn_110100","district_cn_110108"
"town_cn_110108_16","110108","田村路街道","city_cn_110100","district_cn_110108"
"town_cn_110108_17","110108","青龙桥街道","city_cn_110100","district_cn_110108"
"town_cn_110108_18","110108","东升镇","city_cn_110100","district_cn_110108"
"town_cn_110108_19","110108","燕园街道","city_cn_110100","district_cn_110108"
"town_cn_110108_20","110108","曙光街道","city_cn_110100","district_cn_110108"
"town_cn_110108_21","110108","清华园街道","city_cn_110100","district_cn_110108"
"town_cn_110108_22","110108","上地街道","city_cn_110100","district_cn_110108"
"town_cn_110108_23","110108","八里庄街道","city_cn_110100","district_cn_110108"
"town_cn_110108_24","110108","西三旗街道","city_cn_110100","district_cn_110108"
"town_cn_110108_25","110108","香山街道","city_cn_110100","district_cn_110108"
"town_cn_110108_26","110108","万寿路街道","city_cn_110100","district_cn_110108"
"town_cn_110108_27","110108","中关村街道","city_cn_110100","district_cn_110108"
"town_cn_110108_28","110108","马连洼街道","city_cn_110100","district_cn_110108"
"town_cn_110108_29","110108","西北旺镇","city_cn_110100","district_cn_110108"
"town_cn_110109_01","110109","永定镇","city_cn_110100","district_cn_110109"
"town_cn_110109_02","110109","斋堂镇","city_cn_110100","district_cn_110109"
"town_cn_110109_03","110109","妙峰山镇","city_cn_110100","district_cn_110109"
"town_cn_110109_04","110109","东辛房街道","city_cn_110100","district_cn_110109"
"town_cn_110109_05","110109","王平镇","city_cn_110100","district_cn_110109"
"town_cn_110109_06","110109","军庄镇","city_cn_110100","district_cn_110109"
"town_cn_110109_07","110109","城子街道","city_cn_110100","district_cn_110109"
"town_cn_110109_08","110109","雁翅镇","city_cn_110100","district_cn_110109"
"town_cn_110109_09","110109","龙泉镇","city_cn_110100","district_cn_110109"
"town_cn_110109_10","110109","潭柘寺镇","city_cn_110100","district_cn_110109"
"town_cn_110109_11","110109","大台街道","city_cn_110100","district_cn_110109"
"town_cn_110109_12","110109","大峪街道","city_cn_110100","district_cn_110109"
"town_cn_110109_13","110109","清水镇","city_cn_110100","district_cn_110109"
"town_cn_110111_01","110111","大安山乡","city_cn_110100","district_cn_110111"
"town_cn_110111_02","110111","石楼镇","city_cn_110100","district_cn_110111"
"town_cn_110111_03","110111","韩村河镇","city_cn_110100","district_cn_110111"
"town_cn_110111_04","110111","琉璃河镇","city_cn_110100","district_cn_110111"
"town_cn_110111_05","110111","河北镇","city_cn_110100","district_cn_110111"
"town_cn_110111_06","110111","长沟镇","city_cn_110100","district_cn_110111"
"town_cn_110111_07","110111","青龙湖镇","city_cn_110100","district_cn_110111"
"town_cn_110111_08","110111","霞云岭乡","city_cn_110100","district_cn_110111"
"town_cn_110111_09","110111","城关街道","city_cn_110100","district_cn_110111"
"town_cn_110111_10","110111","良乡镇","city_cn_110100","district_cn_110111"
"town_cn_110111_11","110111","周口店镇","city_cn_110100","district_cn_110111"
"town_cn_110111_12","110111","迎风街道","city_cn_110100","district_cn_110111"
"town_cn_110111_13","110111","向阳街道","city_cn_110100","district_cn_110111"
"town_cn_110111_14","110111","新镇街道","city_cn_110100","district_cn_110111"
"town_cn_110111_15","110111","东风街道","city_cn_110100","district_cn_110111"
"town_cn_110111_16","110111","窦店镇","city_cn_110100","district_cn_110111"
"town_cn_110111_17","110111","佛子庄乡","city_cn_110100","district_cn_110111"
"town_cn_110111_18","110111","长阳镇","city_cn_110100","district_cn_110111"
"town_cn_110111_19","110111","张坊镇","city_cn_110100","district_cn_110111"
"town_cn_110111_20","110111","南窖乡","city_cn_110100","district_cn_110111"
"town_cn_110111_21","110111","史家营乡","city_cn_110100","district_cn_110111"
"town_cn_110111_22","110111","拱辰街道","city_cn_110100","district_cn_110111"
"town_cn_110111_23","110111","阎村镇","city_cn_110100","district_cn_110111"
"town_cn_110111_24","110111","西潞街道","city_cn_110100","district_cn_110111"
"town_cn_110111_25","110111","星城街道","city_cn_110100","district_cn_110111"
"town_cn_110111_26","110111","十渡镇","city_cn_110100","district_cn_110111"
"town_cn_110111_27","110111","蒲洼乡","city_cn_110100","district_cn_110111"
"town_cn_110111_28","110111","大石窝镇","city_cn_110100","district_cn_110111"
"town_cn_110112_01","110112","新华街道","city_cn_110100","district_cn_110112"
"town_cn_110112_02","110112","马驹桥镇","city_cn_110100","district_cn_110112"
"town_cn_110112_03","110112","永顺镇","city_cn_110100","district_cn_110112"
"town_cn_110112_04","110112","宋庄镇","city_cn_110100","district_cn_110112"
"town_cn_110112_05","110112","台湖镇","city_cn_110100","district_cn_110112"
"town_cn_110112_06","110112","梨园镇","city_cn_110100","district_cn_110112"
"town_cn_110112_07","110112","永乐店镇","city_cn_110100","district_cn_110112"
"town_cn_110112_08","110112","北苑街道","city_cn_110100","district_cn_110112"
"town_cn_110112_09","110112","张家湾镇","city_cn_110100","district_cn_110112"
"town_cn_110112_10","110112","潞城镇","city_cn_110100","district_cn_110112"
"town_cn_110112_11","110112","于家务回族乡","city_cn_110100","district_cn_110112"
"town_cn_110112_12","110112","玉桥街道","city_cn_110100","district_cn_110112"
"town_cn_110112_13","110112","中仓街道","city_cn_110100","district_cn_110112"
"town_cn_110112_14","110112","漷县镇","city_cn_110100","district_cn_110112"
"town_cn_110112_15","110112","西集镇","city_cn_110100","district_cn_110112"
"town_cn_110113_01","110113","旺泉街道","city_cn_110100","district_cn_110113"
"town_cn_110113_02","110113","大孙各庄镇","city_cn_110100","district_cn_110113"
"town_cn_110113_03","110113","高丽营镇","city_cn_110100","district_cn_110113"
"town_cn_110113_04","110113","马坡镇","city_cn_110100","district_cn_110113"
"town_cn_110113_05","110113","杨镇镇","city_cn_110100","district_cn_110113"
"town_cn_110113_06","110113","仁和镇","city_cn_110100","district_cn_110113"
"town_cn_110113_07","110113","双丰街道","city_cn_110100","district_cn_110113"
"town_cn_110113_08","110113","龙湾屯镇","city_cn_110100","district_cn_110113"
"town_cn_110113_09","110113","石园街道","city_cn_110100","district_cn_110113"
"town_cn_110113_10","110113","北小营镇","city_cn_110100","district_cn_110113"
"town_cn_110113_11","110113","木林镇","city_cn_110100","district_cn_110113"
"town_cn_110113_12","110113","牛栏山镇","city_cn_110100","district_cn_110113"
"town_cn_110113_13","110113","赵全营镇","city_cn_110100","district_cn_110113"
"town_cn_110113_14","110113","南法信镇","city_cn_110100","district_cn_110113"
"town_cn_110113_15","110113","李桥镇","city_cn_110100","district_cn_110113"
"town_cn_110113_16","110113","北石槽镇","city_cn_110100","district_cn_110113"
"town_cn_110113_17","110113","北务镇","city_cn_110100","district_cn_110113"
"town_cn_110113_18","110113","南彩镇","city_cn_110100","district_cn_110113"
"town_cn_110113_19","110113","光明街道","city_cn_110100","district_cn_110113"
"town_cn_110113_20","110113","张镇","city_cn_110100","district_cn_110113"
"town_cn_110113_21","110113","天竺镇","city_cn_110100","district_cn_110113"
"town_cn_110113_22","110113","空港街道","city_cn_110100","district_cn_110113"
"town_cn_110113_23","110113","胜利街道","city_cn_110100","district_cn_110113"
"town_cn_110113_24","110113","后沙峪镇","city_cn_110100","district_cn_110113"
"town_cn_110113_25","110113","李遂镇","city_cn_110100","district_cn_110113"
"town_cn_110114_01","110114","城北街道","city_cn_110100","district_cn_110114"
"town_cn_110114_02","110114","马池口镇","city_cn_110100","district_cn_110114"
"town_cn_110114_03","110114","南口镇","city_cn_110100","district_cn_110114"
"town_cn_110114_04","110114","霍营街道","city_cn_110100","district_cn_110114"
"town_cn_110114_05","110114","崔村镇","city_cn_110100","district_cn_110114"
"town_cn_110114_06","110114","北七家镇","city_cn_110100","district_cn_110114"
"town_cn_110114_07","110114","天通苑北街道","city_cn_110100","district_cn_110114"
"town_cn_110114_08","110114","小汤山镇","city_cn_110100","district_cn_110114"
"town_cn_110114_09","110114","南邵镇","city_cn_110100","district_cn_110114"
"town_cn_110114_10","110114","十三陵镇","city_cn_110100","district_cn_110114"
"town_cn_110114_11","110114","延寿镇","city_cn_110100","district_cn_110114"
"town_cn_110114_12","110114","阳坊镇","city_cn_110100","district_cn_110114"
"town_cn_110114_13","110114","兴寿镇","city_cn_110100","district_cn_110114"
"town_cn_110114_14","110114","东小口镇","city_cn_110100","district_cn_110114"
"town_cn_110114_15","110114","城南街道","city_cn_110100","district_cn_110114"
"town_cn_110114_16","110114","百善镇","city_cn_110100","district_cn_110114"
"town_cn_110114_17","110114","天通苑南街道","city_cn_110100","district_cn_110114"
"town_cn_110114_18","110114","沙河镇","city_cn_110100","district_cn_110114"
"town_cn_110114_19","110114","龙泽园街道","city_cn_110100","district_cn_110114"
"town_cn_110114_20","110114","回龙观街道","city_cn_110100","district_cn_110114"
"town_cn_110114_21","110114","流村镇","city_cn_110100","district_cn_110114"
"town_cn_110114_22","110114","史各庄街道","city_cn_110100","district_cn_110114"
"town_cn_110115_01","110115","亦庄镇","city_cn_110100","district_cn_110115"
"town_cn_110115_02","110115","国家新媒体产业基地","city_cn_110100","district_cn_110115"
"town_cn_110115_03","110115","天宫院街道","city_cn_110100","district_cn_110115"
"town_cn_110115_04","110115","礼贤镇","city_cn_110100","district_cn_110115"
"town_cn_110115_05","110115","青云店镇","city_cn_110100","district_cn_110115"
"town_cn_110115_06","110115","北京经济技术开发区","city_cn_110100","district_cn_110115"
"town_cn_110115_07","110115","庞各庄镇","city_cn_110100","district_cn_110115"
"town_cn_110115_08","110115","中关村国家自主创新示范区大兴生物医药产业基地","city_cn_110100","district_cn_110115"
"town_cn_110115_09","110115","瀛海镇","city_cn_110100","district_cn_110115"
"town_cn_110115_10","110115","长子营镇","city_cn_110100","district_cn_110115"
"town_cn_110115_11","110115","林校路街道","city_cn_110100","district_cn_110115"
"town_cn_110115_12","110115","北臧村镇","city_cn_110100","district_cn_110115"
"town_cn_110115_13","110115","采育镇","city_cn_110100","district_cn_110115"
"town_cn_110115_14","110115","魏善庄镇","city_cn_110100","district_cn_110115"
"town_cn_110115_15","110115","旧宫镇","city_cn_110100","district_cn_110115"
"town_cn_110115_16","110115","观音寺街道","city_cn_110100","district_cn_110115"
"town_cn_110115_17","110115","黄村镇","city_cn_110100","district_cn_110115"
"town_cn_110115_18","110115","兴丰街道","city_cn_110100","district_cn_110115"
"town_cn_110115_19","110115","西红门镇","city_cn_110100","district_cn_110115"
"town_cn_110115_20","110115","清源街道","city_cn_110100","district_cn_110115"
"town_cn_110115_21","110115","安定镇","city_cn_110100","district_cn_110115"
"town_cn_110115_22","110115","榆垡镇","city_cn_110100","district_cn_110115"
"town_cn_110115_23","110115","高米店街道","city_cn_110100","district_cn_110115"
"town_cn_110115_24","110115","博兴街道","city_cn_110100","district_cn_110115"
"town_cn_110116_01","110116","泉河街道","city_cn_110100","district_cn_110116"
"town_cn_110116_02","110116","琉璃庙镇","city_cn_110100","district_cn_110116"
"town_cn_110116_03","110116","喇叭沟门满族乡","city_cn_110100","district_cn_110116"
"town_cn_110116_04","110116","桥梓镇","city_cn_110100","district_cn_110116"
"town_cn_110116_05","110116","北房镇","city_cn_110100","district_cn_110116"
"town_cn_110116_06","110116","汤河口镇","city_cn_110100","district_cn_110116"
"town_cn_110116_07","110116","宝山镇","city_cn_110100","district_cn_110116"
"town_cn_110116_08","110116","龙山街道","city_cn_110100","district_cn_110116"
"town_cn_110116_09","110116","怀柔镇","city_cn_110100","district_cn_110116"
"town_cn_110116_10","110116","怀北镇","city_cn_110100","district_cn_110116"
"town_cn_110116_11","110116","北京雁栖经济开发区","city_cn_110100","district_cn_110116"
"town_cn_110116_12","110116","渤海镇","city_cn_110100","district_cn_110116"
"town_cn_110116_13","110116","长哨营满族乡","city_cn_110100","district_cn_110116"
"town_cn_110116_14","110116","九渡河镇","city_cn_110100","district_cn_110116"
"town_cn_110116_15","110116","杨宋镇","city_cn_110100","district_cn_110116"
"town_cn_110116_16","110116","庙城镇","city_cn_110100","district_cn_110116"
"town_cn_110116_17","110116","雁栖镇","city_cn_110100","district_cn_110116"
"town_cn_110117_01","110117","马坊镇","city_cn_110100","district_cn_110117"
"town_cn_110117_02","110117","南独乐河镇","city_cn_110100","district_cn_110117"
