"id","adcode","name","state_id:id","city_id:id","zipcode","area_code"
"district_cn_140221","140221","阳高县","base.state_cn_SX","city_cn_140200","038100","0352"
"district_cn_140222","140222","天镇县","base.state_cn_SX","city_cn_140200","038200","0352"
"district_cn_140223","140223","广灵县","base.state_cn_SX","city_cn_140200","037500","0352"
"district_cn_140224","140224","灵丘县","base.state_cn_SX","city_cn_140200","034400","0352"
"district_cn_140225","140225","浑源县","base.state_cn_SX","city_cn_140200","037400","0352"
"district_cn_140226","140226","左云县","base.state_cn_SX","city_cn_140200","037100","0352"
"district_cn_140302","140302","城区","base.state_cn_SX","city_cn_140300","045000","0353"
"district_cn_140303","140303","矿区","base.state_cn_SX","city_cn_140300","045000","0353"
"district_cn_140311","140311","郊区","base.state_cn_SX","city_cn_140300","045000","0353"
"district_cn_140321","140321","平定县","base.state_cn_SX","city_cn_140300","045200","0353"
"district_cn_140322","140322","盂县","base.state_cn_SX","city_cn_140300","045100","0353"
"district_cn_140403","140403","潞州区","base.state_cn_SX","city_cn_140400","046000","0355"
"district_cn_140404","140404","上党区","base.state_cn_SX","city_cn_140400","047100","0355"
"district_cn_140405","140405","屯留区","base.state_cn_SX","city_cn_140400","046100","0355"
"district_cn_140406","140406","潞城区","base.state_cn_SX","city_cn_140400","047500","0355"
"district_cn_140423","140423","襄垣县","base.state_cn_SX","city_cn_140400","046200","0355"
"district_cn_140425","140425","平顺县","base.state_cn_SX","city_cn_140400","047400","0355"
"district_cn_140426","140426","黎城县","base.state_cn_SX","city_cn_140400","047600","0355"
"district_cn_140427","140427","壶关县","base.state_cn_SX","city_cn_140400","047300","0355"
"district_cn_140428","140428","长子县","base.state_cn_SX","city_cn_140400","046600","0355"
"district_cn_140429","140429","武乡县","base.state_cn_SX","city_cn_140400","046300","0355"
"district_cn_140430","140430","沁县","base.state_cn_SX","city_cn_140400","046400","0355"
"district_cn_140431","140431","沁源县","base.state_cn_SX","city_cn_140400","046500","0355"
"district_cn_140502","140502","城区","base.state_cn_SX","city_cn_140500","048000","0356"
"district_cn_140521","140521","沁水县","base.state_cn_SX","city_cn_140500","048200","0356"
"district_cn_140522","140522","阳城县","base.state_cn_SX","city_cn_140500","048100","0356"
"district_cn_140524","140524","陵川县","base.state_cn_SX","city_cn_140500","048300","0356"
"district_cn_140525","140525","泽州县","base.state_cn_SX","city_cn_140500","048000","0356"
"district_cn_140581","140581","高平市","base.state_cn_SX","city_cn_140500","048400","0356"
"district_cn_140602","140602","朔城区","base.state_cn_SX","city_cn_140600","036000","0349"
"district_cn_140603","140603","平鲁区","base.state_cn_SX","city_cn_140600","036800","0349"
"district_cn_140621","140621","山阴县","base.state_cn_SX","city_cn_140600","036900","0349"
"district_cn_140622","140622","应县","base.state_cn_SX","city_cn_140600","037600","0349"
"district_cn_140623","140623","右玉县","base.state_cn_SX","city_cn_140600","037200","0349"
"district_cn_140681","140681","怀仁市","base.state_cn_SX","city_cn_140600","038300","0349"
"district_cn_140702","140702","榆次区","base.state_cn_SX","city_cn_140700","030600","0354"
"district_cn_140721","140721","榆社县","base.state_cn_SX","city_cn_140700","031800","0354"
"district_cn_140722","140722","左权县","base.state_cn_SX","city_cn_140700","032600","0354"
"district_cn_140723","140723","和顺县","base.state_cn_SX","city_cn_140700","032700","0354"
"district_cn_140724","140724","昔阳县","base.state_cn_SX","city_cn_140700","045300","0354"
"district_cn_140725","140725","寿阳县","base.state_cn_SX","city_cn_140700","045400","0354"
"district_cn_140726","140726","太谷县","base.state_cn_SX","city_cn_140700","030800","0354"
"district_cn_140727","140727","祁县","base.state_cn_SX","city_cn_140700","030900","0354"
"district_cn_140728","140728","平遥县","base.state_cn_SX","city_cn_140700","031100","0354"
"district_cn_140729","140729","灵石县","base.state_cn_SX","city_cn_140700","031300","0354"
"district_cn_140781","140781","介休市","base.state_cn_SX","city_cn_140700","032000","0354"
"district_cn_140802","140802","盐湖区","base.state_cn_SX","city_cn_140800","044000","0359"
"district_cn_140821","140821","临猗县","base.state_cn_SX","city_cn_140800","044100","0359"
"district_cn_140822","140822","万荣县","base.state_cn_SX","city_cn_140800","044200","0359"
"district_cn_140823","140823","闻喜县","base.state_cn_SX","city_cn_140800","043800","0359"
"district_cn_140824","140824","稷山县","base.state_cn_SX","city_cn_140800","043200","0359"
"district_cn_140825","140825","新绛县","base.state_cn_SX","city_cn_140800","043100","0359"
"district_cn_140826","140826","绛县","base.state_cn_SX","city_cn_140800","043600","0359"
"district_cn_140827","140827","垣曲县","base.state_cn_SX","city_cn_140800","043700","0359"
"district_cn_140828","140828","夏县","base.state_cn_SX","city_cn_140800","044400","0359"
"district_cn_140829","140829","平陆县","base.state_cn_SX","city_cn_140800","044300","0359"
"district_cn_140830","140830","芮城县","base.state_cn_SX","city_cn_140800","044600","0359"
"district_cn_140881","140881","永济市","base.state_cn_SX","city_cn_140800","044500","0359"
"district_cn_140882","140882","河津市","base.state_cn_SX","city_cn_140800","043300","0359"
"district_cn_140902","140902","忻府区","base.state_cn_SX","city_cn_140900","034000","0350"
"district_cn_140921","140921","定襄县","base.state_cn_SX","city_cn_140900","035400","0350"
"district_cn_140922","140922","五台县","base.state_cn_SX","city_cn_140900","035500","0350"
"district_cn_140923","140923","代县","base.state_cn_SX","city_cn_140900","034200","0350"
"district_cn_140924","140924","繁峙县","base.state_cn_SX","city_cn_140900","034300","0350"
"district_cn_140925","140925","宁武县","base.state_cn_SX","city_cn_140900","036700","0350"
"district_cn_140926","140926","静乐县","base.state_cn_SX","city_cn_140900","035100","0350"
"district_cn_140927","140927","神池县","base.state_cn_SX","city_cn_140900","036100","0350"
"district_cn_140928","140928","五寨县","base.state_cn_SX","city_cn_140900","036200","0350"
"district_cn_140929","140929","岢岚县","base.state_cn_SX","city_cn_140900","036300","0350"
"district_cn_140930","140930","河曲县","base.state_cn_SX","city_cn_140900","036500","0350"
"district_cn_140931","140931","保德县","base.state_cn_SX","city_cn_140900","036600","0350"
"district_cn_140932","140932","偏关县","base.state_cn_SX","city_cn_140900","036400","0350"
"district_cn_140981","140981","原平市","base.state_cn_SX","city_cn_140900","034100","0350"
"district_cn_141002","141002","尧都区","base.state_cn_SX","city_cn_141000","041000","0357"
"district_cn_141021","141021","曲沃县","base.state_cn_SX","city_cn_141000","043400","0357"
"district_cn_141022","141022","翼城县","base.state_cn_SX","city_cn_141000","043500","0357"
"district_cn_141023","141023","襄汾县","base.state_cn_SX","city_cn_141000","041500","0357"
"district_cn_141024","141024","洪洞县","base.state_cn_SX","city_cn_141000","041600","0357"
"district_cn_141025","141025","古县","base.state_cn_SX","city_cn_141000","042400","0357"
"district_cn_141026","141026","安泽县","base.state_cn_SX","city_cn_141000","042500","0357"
"district_cn_141027","141027","浮山县","base.state_cn_SX","city_cn_141000","042600","0357"
"district_cn_141028","141028","吉县","base.state_cn_SX","city_cn_141000","042200","0357"
"district_cn_141029","141029","乡宁县","base.state_cn_SX","city_cn_141000","042100","0357"
"district_cn_141030","141030","大宁县","base.state_cn_SX","city_cn_141000","042300","0357"
"district_cn_141031","141031","隰县","base.state_cn_SX","city_cn_141000","041300","0357"
"district_cn_141032","141032","永和县","base.state_cn_SX","city_cn_141000","041400","0357"
"district_cn_141033","141033","蒲县","base.state_cn_SX","city_cn_141000","041200","0357"
"district_cn_141034","141034","汾西县","base.state_cn_SX","city_cn_141000","031500","0357"
"district_cn_141081","141081","侯马市","base.state_cn_SX","city_cn_141000","043000","0357"
"district_cn_141082","141082","霍州市","base.state_cn_SX","city_cn_141000","031400","0357"
"district_cn_141102","141102","离石区","base.state_cn_SX","city_cn_141100","033000","0358"
"district_cn_141121","141121","文水县","base.state_cn_SX","city_cn_141100","032100","0358"
"district_cn_141122","141122","交城县","base.state_cn_SX","city_cn_141100","030500","0358"
"district_cn_141123","141123","兴县","base.state_cn_SX","city_cn_141100","033600","0358"
"district_cn_141124","141124","临县","base.state_cn_SX","city_cn_141100","033200","0358"
"district_cn_141125","141125","柳林县","base.state_cn_SX","city_cn_141100","033300","0358"
"district_cn_141126","141126","石楼县","base.state_cn_SX","city_cn_141100","032500","0358"
"district_cn_141127","141127","岚县","base.state_cn_SX","city_cn_141100","033500","0358"
"district_cn_141128","141128","方山县","base.state_cn_SX","city_cn_141100","033100","0358"
"district_cn_141129","141129","中阳县","base.state_cn_SX","city_cn_141100","033400","0358"
"district_cn_141130","141130","交口县","base.state_cn_SX","city_cn_141100","032400","0358"
"district_cn_141181","141181","孝义市","base.state_cn_SX","city_cn_141100","032300","0358"
"district_cn_141182","141182","汾阳市","base.state_cn_SX","city_cn_141100","032200","0358"
"district_cn_150102","150102","新城区","base.state_cn_NM","city_cn_150100","010000","0471"
"district_cn_150103","150103","回民区","base.state_cn_NM","city_cn_150100","010000","0471"
"district_cn_150104","150104","玉泉区","base.state_cn_NM","city_cn_150100","010000","0471"
"district_cn_150105","150105","赛罕区","base.state_cn_NM","city_cn_150100","010000","0471"
"district_cn_150121","150121","土默特左旗","base.state_cn_NM","city_cn_150100","010100","0471"
"district_cn_150122","150122","托克托县","base.state_cn_NM","city_cn_150100","010200","0471"
"district_cn_150123","150123","和林格尔县","base.state_cn_NM","city_cn_150100","011500","0471"
"district_cn_150124","150124","清水河县","base.state_cn_NM","city_cn_150100","011600","0471"
"district_cn_150125","150125","武川县","base.state_cn_NM","city_cn_150100","011700","0471"
"district_cn_150202","150202","东河区","base.state_cn_NM","city_cn_150200","014000","0472"
"district_cn_150203","150203","昆都仑区","base.state_cn_NM","city_cn_150200","014000","0472"
"district_cn_150204","150204","青山区","base.state_cn_NM","city_cn_150200","014000","0472"
"district_cn_150205","150205","石拐区","base.state_cn_NM","city_cn_150200","014000","0472"
"district_cn_150206","150206","白云鄂博矿区","base.state_cn_NM","city_cn_150200","014000","0472"
